,travel_t_avg,travel_t_std,travel_d_avg,travel_d_std,travel_td_avg,travel_td_std,throughput_avg,throughput_std,comput_t_avg,comput_t_std,exp_nodes,deadlocks
0,9.545454545454545,2.147456692912312,20.09090909090909,4.294913385824624,0.473480909090909,0.007776403064920129,0.1125,0.31598061649411346,7527711.25,64481565.585890494,7156.0,0.0
1,9.5,1.9578900207451218,20.0,3.9157800414902435,0.4738473333333333,0.005992115337860429,0.125,0.33071891388307384,1561753.75,5619578.340675209,1493.0,0.0
2,8.375,2.4926976685243374,17.75,4.985395337048675,0.4695008333333333,0.008454093149014989,0.125,0.33071891388307384,356610.0,1013811.4831663725,490.0,0.0
3,8.416666666666666,2.473470346609305,17.833333333333332,4.94694069321861,0.46972055555555553,0.008305481103345226,0.1875,0.4211220131980754,1200988.75,2788245.7084156764,1040.0,0.0
4,8.107142857142858,2.4653206936317598,17.214285714285715,4.9306413872635195,0.46836428571428573,0.009258724622357715,0.1375,0.3443744328488978,668178.75,1783847.7320593924,758.0,0.0
5,8.6,2.4474476501040834,18.2,4.894895300208167,0.4703880000000001,0.007992615091445351,0.1125,0.31598061649411346,1077643.75,4313843.844005127,1027.0,0.0
6,9.538461538461538,2.134528757771016,20.076923076923077,4.269057515542032,0.47353692307692297,0.007494741114855017,0.125,0.33071891388307384,1045378.75,4873023.833814424,1151.0,0.0
7,7.346153846153846,2.1607033700289446,15.692307692307692,4.321406740057889,0.46607384615384617,0.007653194947171293,0.15,0.3570714214271425,443112.5,1297875.841555636,613.0,0.0
8,8.583333333333334,2.5644470922381863,18.166666666666668,5.128894184476373,0.4697183333333333,0.009924433513080509,0.1125,0.35333235062756424,316181.25,903403.9608743353,442.0,0.0
9,9.375,2.3551804601770967,19.75,4.710360920354193,0.4729591666666666,0.007319863908495078,0.125,0.3665719574653795,667716.25,1890446.073380814,671.0,0.0
10,8.033333333333333,2.0693530926891675,17.066666666666666,4.138706185378335,0.46897133333333324,0.007305167911979999,0.175,0.4115519408288582,998363.75,3308661.2372016776,817.0,0.0
11,8.923076923076923,2.4325212770525995,18.846153846153847,4.865042554105199,0.47152384615384624,0.007625108865262223,0.1125,0.35333235062756424,7293567.5,61856688.78107034,7656.0,0.0
12,8.105263157894736,2.4038288940356285,17.210526315789473,4.807657788071257,0.46840578947368416,0.009328396554149495,0.2,0.45825756949558405,1042947.5,2507827.2282483396,1086.0,0.0
13,9.153846153846153,2.5372957696108682,19.307692307692307,5.0745915392217364,0.4717984615384616,0.008991328169326301,0.125,0.33071891388307384,639757.5,1922830.7923979557,722.0,0.0
14,7.9375,2.3040385738958453,16.875,4.608077147791691,0.46815687500000003,0.008289653731270987,0.1625,0.36890886408434265,669712.5,2003550.1360943653,765.0,0.0
15,9.85,1.8445866745696717,20.7,3.6891733491393435,0.47497899999999993,0.004919531380121491,0.0875,0.2825663638864329,666341.25,2912561.1749667055,626.0,0.0
16,8.708333333333334,2.6017488776248605,18.416666666666668,5.203497755249721,0.4705416666666667,0.008370231810144534,0.1125,0.31598061649411346,2490411.25,11553873.69734707,1723.0,0.0
17,8.34375,2.1557970538758977,17.6875,4.311594107751795,0.469905,0.007628845751488233,0.175,0.41155194082885815,1030501.25,2576072.8500710996,978.0,0.0
18,8.571428571428571,2.221570199129405,18.142857142857142,4.44314039825881,0.4706633333333334,0.007393611356359553,0.2,0.4000000000000001,2035658.75,4515990.095142309,1669.0,0.0
19,8.785714285714286,2.6234810960295656,18.571428571428573,5.246962192059131,0.4702364285714285,0.010221739163694806,0.1375,0.3443744328488978,456655.0,1125921.4888148285,601.0,0.0
20,8.973684210526315,2.1973290258050637,18.94736842105263,4.3946580516101275,0.4719178947368422,0.007454383082912657,0.2,0.48476798574163293,7600678.75,32639467.731841512,4696.0,0.0
