,travel_t_avg,travel_t_std,travel_d_avg,travel_d_std,travel_td_avg,travel_td_std,throughput_avg,throughput_std,comput_t_avg,comput_t_std,exp_nodes,deadlocks
0,6.615384615384615,3.883663249650566,14.038461538461538,8.097866619485792,0.3787111538461539,0.18495801434851522,0.25,0.48733971724044817,1159100.0,2355628.630588871,1081.0,2.0
1,9.10344827586207,3.1551253058476894,19.137931034482758,6.51112648726584,0.44174,0.120381671648825,0.3,0.5567764362830021,2048101.25,4037597.703322291,1749.0,1.0
2,9.114285714285714,2.944936851822886,19.17142857142857,6.068587570600001,0.4471137142857144,0.11024470519415859,0.3125,0.5383713866839508,1215918.75,1766153.5485408502,1278.0,2.0
3,7.533333333333333,3.964284999284935,15.9,8.247625921035297,0.39322900000000005,0.17601455239742725,0.225,0.49937460888595453,1635372.5,4962734.250012159,1328.0,2.0
4,8.083333333333334,3.377828033251874,17.083333333333332,6.957709552878894,0.431635,0.13042312336519676,0.2125,0.4662014049742879,617242.5,1180152.020162551,714.0,0.0
5,7.7727272727272725,3.654782895950035,16.40909090909091,7.601788610757645,0.4076854545454545,0.1621507445313345,0.2,0.4301162633521314,533296.25,711625.8606957293,535.0,0.0
6,8.708333333333334,3.0204741165732387,18.375,6.163146517810525,0.45192750000000004,0.09466897790239066,0.1875,0.4498263553861645,1213538.75,2697846.45826508,1082.0,1.0
7,7.576923076923077,4.077830087785913,15.961538461538462,8.514606315623709,0.38254846153846156,0.18673285164171977,0.25,0.4609772228646444,801083.75,1165098.052573661,841.0,0.0
8,7.730769230769231,3.2172335501135647,16.346153846153847,6.713604486942956,0.41744807692307695,0.15086491433421823,0.2875,0.5290025992374706,894415.0,1414020.393956537,838.0,0.0
9,7.2,2.925747767665559,15.32,6.051247805205138,0.430422,0.12719194911628645,0.2625,0.4935521755599908,630303.75,1169106.875829125,725.0,0.0
10,5.90625,4.672789417200394,12.46875,9.78194885682296,0.3096390625,0.2241873646969117,0.325,0.5425633603552676,1465468.75,2076844.3026978304,1198.0,0.0
11,6.869565217391305,3.6630273512740077,14.565217391304348,7.654643870150196,0.3881482608695652,0.17823480081920698,0.2125,0.4662014049742879,510681.25,779144.8094054387,581.0,0.0
12,8.6,2.4576411454889016,18.2,4.915282290977803,0.470047,0.009347594396420932,0.225,0.5238081709939241,392568.75,878570.7223373867,449.0,0.0
13,8.2,3.532704346531139,17.28,7.345855974629505,0.4165468,0.15392643260259103,0.2125,0.4385701198212208,836266.25,1484932.6444273281,799.0,0.0
14,8.04,3.3523722943611136,16.96,6.994168999959895,0.4164056,0.15384338961632377,0.2875,0.5048205126577169,1072660.0,2099354.658317646,1168.0,0.0
15,8.25,2.8613807855648994,17.458333333333332,5.845077463606068,0.45090416666666666,0.09435878902345146,0.275,0.5471517157059823,918421.25,1557895.4343676078,844.0,0.0
16,7.461538461538462,3.103729384897233,15.846153846153847,6.395264520254316,0.4324315384615385,0.1251339900541172,0.2125,0.40907670429883924,873808.75,1657467.463797838,837.0,0.0
17,7.029411764705882,4.0763687280372976,14.852941176470589,8.509967695180187,0.37454323529411765,0.19081260754561372,0.3625,0.5532573994082681,1475251.25,2854451.0584783964,1256.0,1.0
18,8.391304347826088,3.253615118933862,17.695652173913043,6.733658367444238,0.43164043478260866,0.1333734617849691,0.225,0.41758232721225164,455650.0,619518.6478226463,563.0,0.0
19,8.428571428571429,3.539860483818248,17.761904761904763,7.308864558451392,0.4275590476190476,0.13894485795262063,0.2125,0.4662014049742879,515615.0,958722.2091278578,561.0,0.0
20,8.148148148148149,3.4178583689064674,17.185185185185187,7.102618385403329,0.42025629629629635,0.1487214214102413,0.25,0.48733971724044817,546076.25,587085.1018472003,623.0,0.0
21,7.5,4.306971093471606,15.8,8.964373932405987,0.37830650000000005,0.18927888797420064,0.2,0.45825756949558405,708425.0,1563789.177167114,698.0,0.0
22,8.6875,3.20582965080804,18.3125,6.583300369115783,0.442886875,0.11463977749448215,0.2875,0.47942022276912766,1719183.75,4584037.996282419,1585.0,2.0
23,8.464285714285714,2.0784977895644947,17.928571428571427,4.156995579128989,0.4704610714285714,0.007236271898906092,0.25,0.51234753829798,626886.25,1198968.9361847276,726.0,0.0
24,8.071428571428571,3.069766992420614,17.071428571428573,6.329796721112949,0.4374078571428571,0.12153339691968101,0.2875,0.5290025992374706,965248.75,1486320.013993769,976.0,0.0
25,7.521739130434782,3.843340544453838,15.869565217391305,8.028776222877996,0.39060739130434785,0.17930424426261082,0.2625,0.541842920042331,645567.5,965162.002305183,630.0,0.0
26,8.0,3.4641016151377544,16.92,7.11572905611224,0.4324496,0.12786681904168884,0.2375,0.4807221130757353,1224640.0,3163116.2903298386,1132.0,1.0
27,8.25,2.9715916850834576,17.428571428571427,6.143687651499193,0.43820571428571425,0.12172630363203496,0.25,0.5590169943749475,615903.75,821904.2755156695,640.0,0.0
28,6.78125,4.342625753792284,14.3125,9.07757367086602,0.35403906249999995,0.20451950011489392,0.3625,0.5754074643241952,1671277.5,2177106.7861944092,1424.0,0.0
29,8.75,2.742413778650722,18.458333333333332,5.619750637014264,0.45286333333333334,0.09467783996562001,0.2125,0.4090767042988393,727673.75,1373311.2181643087,661.0,0.0
30,8.909090909090908,2.7287874581461153,18.772727272727273,5.6078825868092155,0.45179090909090913,0.09879599094318697,0.2125,0.46620140497428797,1136287.5,3293164.904631068,1149.0,1.0
31,7.615384615384615,3.4538375877913308,16.115384615384617,7.164694008587275,0.41644538461538466,0.15056687533428126,0.1875,0.3903123748998999,4204765.0,3481127.862169817,2939.0,0.0
32,7.708333333333333,3.168584945295858,16.333333333333332,6.542595475463508,0.4307833333333333,0.13011547162253825,0.2625,0.4675401052316261,787492.5,1201730.120157496,865.0,0.0
33,8.3,3.7429934544425802,17.466666666666665,7.783458243109051,0.41073366666666683,0.16121964645545597,0.275,0.5471517157059823,1019410.0,1572358.3856424082,915.0,0.0
34,8.423076923076923,2.7620098162121134,17.807692307692307,5.6433707246728595,0.4529730769230769,0.09093765631841624,0.25,0.48733971724044817,484800.0,580521.2125753891,603.0,0.0
35,8.444444444444445,2.2662308949301266,17.88888888888889,4.532461789860253,0.46996777777777776,0.008367070744263261,0.1625,0.36890886408434265,304973.75,390434.4115033119,386.0,0.0
36,9.411764705882353,2.0017293561380654,19.823529411764707,4.003458712276131,0.4733758823529412,0.007085166824241731,0.1625,0.36890886408434265,752948.75,2351406.2269732207,663.0,1.0
37,7.153846153846154,3.8699265317246976,15.115384615384615,8.097135880510812,0.3811807692307693,0.1861024763800657,0.2375,0.4539754949333719,871443.75,1501832.8065936426,808.0,0.0
38,8.791666666666666,3.3037751974908276,18.5,6.831300510639732,0.43446416666666665,0.13113394398847394,0.2125,0.46620140497428797,741756.25,1274516.1044337328,787.0,0.0
39,6.923076923076923,3.4409644994376993,14.73076923076923,7.117463313826678,0.4131642307692307,0.1495044579776052,0.225,0.47368238303741045,992350.0,1975559.2193098136,890.0,0.0
40,8.620689655172415,3.1007651236367373,18.17241379310345,6.395413041133958,0.440244827586207,0.12002554798790906,0.2875,0.5521265706339443,1420935.0,2650873.105228728,1372.0,1.0
41,8.461538461538462,2.7488566746470213,17.884615384615383,5.618150004000928,0.4530988461538461,0.09097087468512288,0.25,0.48733971724044817,633765.0,957028.6590666969,627.0,0.0
42,8.10344827586207,3.356361202729331,17.103448275862068,6.964663655448948,0.42353172413793116,0.1440065955881515,0.2875,0.5956876278721928,1091772.5,1524899.9621266143,1068.0,0.0
43,6.296296296296297,3.8855364738973024,13.37037037037037,8.133825796330285,0.3647055555555556,0.19507111530078297,0.275,0.49937460888595453,1199173.75,2421095.0081907026,976.0,0.0
44,7.68,3.1333049644105824,16.28,6.465415686558754,0.432106,0.12766954719117632,0.225,0.4175823272122517,706350.0,1930472.5694114382,778.0,1.0
45,8.08,3.632299547118877,17.04,7.533817093611977,0.4157812000000001,0.153705319109522,0.225,0.41758232721225164,914620.0,2292473.0978465155,701.0,0.0
46,8.0,2.969542358374741,16.954545454545453,6.063881690553073,0.44817636363636376,0.09815872820661693,0.25,0.4330127018922193,555167.5,629713.7571498259,491.0,0.0
47,7.55,3.800986713999406,16.0,7.803845206050668,0.42140700000000003,0.14084839942647556,0.2125,0.4662014049742879,859253.75,1550766.6483826435,790.0,1.0
48,7.0,3.9886201760873283,14.818181818181818,8.299158575292513,0.38452409090909084,0.1814469458561846,0.225,0.44651427748729383,864377.5,2964487.298462206,667.0,1.0
49,8.0,3.8494391563163872,16.863636363636363,7.984618477510678,0.40818136363636365,0.16234570877368887,0.2125,0.4385701198212208,1125255.0,2035515.1564100427,971.0,0.0
50,7.8076923076923075,3.1134847008213358,16.53846153846154,6.422501125734364,0.4339592307692308,0.12551461618604967,0.3125,0.561109392186586,1086707.5,1621536.6430314642,807.0,0.0
51,7.703703703703703,4.609288647734532,16.185185185185187,9.59180605956068,0.36877703703703707,0.19725358945830065,0.2625,0.541842920042331,1435567.5,4764604.384253088,839.0,0.0
52,8.533333333333333,3.667272677193351,17.966666666666665,7.5696029545075145,0.4256123333333333,0.14210304119859252,0.3,0.5567764362830021,1623031.25,3404846.6038352503,1201.0,1.0
53,8.703703703703704,3.1950750853614367,18.333333333333332,6.594048944425684,0.4381711111111112,0.12412896952985314,0.2375,0.4807221130757352,1248801.25,1708049.6093859328,1021.0,0.0
54,7.08,3.7833318649042673,15.0,7.868926229162401,0.3944884,0.17236583182707646,0.225,0.49937460888595453,825315.0,1614733.671546178,774.0,0.0
55,8.0,2.943920288775949,16.962962962962962,5.99061909545052,0.4515407407407408,0.08905324428660542,0.2375,0.4539754949333719,2341391.25,3529338.124074886,2066.0,0.0
56,7.52,3.930597918892239,15.88,8.16979803911945,0.39609479999999997,0.1730345142939986,0.2375,0.4539754949333719,725726.25,1052107.4970914035,812.0,0.0
57,8.74074074074074,2.3506120966848045,18.48148148148148,4.701224193369609,0.4709559259259259,0.008000168173815337,0.275,0.47368238303741045,916035.0,2222503.1186761023,890.0,1.0
58,8.590909090909092,2.2086419296829716,18.181818181818183,4.417283859365943,0.47073318181818175,0.007412129117726652,0.225,0.44651427748729383,1104310.0,3072227.7814153037,1066.0,1.0
59,8.6,2.244994432064365,18.2,4.48998886412873,0.47054680000000004,0.008143643273130278,0.2375,0.4539754949333719,731683.75,1172066.6438436585,717.0,0.0
60,7.931034482758621,3.3828271637050267,16.75862068965517,7.0106085741725455,0.42285620689655173,0.14379446273483054,0.275,0.47368238303741045,838696.25,1168186.5859574564,959.0,0.0
61,7.96,3.924079509897831,16.76,8.174496926416941,0.39777320000000005,0.17372777057730293,0.2125,0.49228421668788036,700025.0,2157993.07439227,710.0,1.0
62,8.068965517241379,2.9934530226497524,17.06896551724138,6.175206457432366,0.4385079310344828,0.1195805113397292,0.275,0.5238081709939241,890112.5,1338971.5801105527,836.0,0.0
63,7.777777777777778,3.292340531117568,16.444444444444443,6.849348892187752,0.41922611111111113,0.14834689620162034,0.175,0.3799671038392666,473741.25,1016151.5067515462,530.0,0.0
64,7.541666666666667,2.915178191618634,16.041666666666668,5.940532851146902,0.44780499999999995,0.09386113528328253,0.275,0.5238081709939241,1404628.75,3408164.3934159684,1191.0,1.0
65,8.1,3.1128764832546767,17.133333333333333,6.401735875699826,0.4393673333333334,0.11768782562166553,0.2625,0.4675401052316261,806030.0,1322607.4674104936,869.0,0.0
66,8.0,3.0503029072678927,16.956521739130434,6.2169352219461995,0.44867260869565206,0.09610842238880145,0.225,0.47368238303741045,1420556.25,3292259.7286227187,1317.0,1.0
67,7.9523809523809526,3.7349850573576333,16.761904761904763,7.776060711015951,0.40558047619047627,0.16567862196422242,0.2,0.4301162633521314,551612.5,983356.5374998786,628.0,0.0
68,7.2592592592592595,3.272699560648077,15.407407407407407,6.794656175092519,0.4169944444444444,0.14764134774998533,0.2375,0.4539754949333719,1366007.5,2304255.069961603,1320.0,0.0
69,8.095238095238095,3.449013135663204,17.095238095238095,7.124102362201162,0.4267095238095239,0.13864362800174962,0.2,0.4000000000000001,383793.75,399983.18319141556,415.0,0.0
70,8.296296296296296,2.852092341952364,17.555555555555557,5.813989089756058,0.452905925925926,0.0892334159821665,0.225,0.4175823272122517,1492998.75,2886916.7317180173,1375.0,1.0
71,7.714285714285714,4.046666554595477,16.257142857142856,8.422225213743719,0.39184857142857143,0.17835708793866079,0.3375,0.4985917668794783,1607155.0,3754147.636311737,1537.0,3.0
72,7.434782608695652,3.681045302350735,15.73913043478261,7.628421634595237,0.40865782608695655,0.15849785841253838,0.25,0.48733971724044817,994975.0,1909622.6617122556,846.0,0.0
73,8.384615384615385,3.701111299605972,17.653846153846153,7.66581977999798,0.4185034615384616,0.15134917828910396,0.275,0.5238081709939241,1227686.25,2233558.8120611324,1317.0,0.0
74,8.551724137931034,2.8718155605044156,18.03448275862069,5.950849018653236,0.44042827586206895,0.12003229077236606,0.3125,0.5146297212559725,1164588.75,1757847.2198255563,975.0,0.0
75,8.064516129032258,4.1029924867728,16.967741935483872,8.525044209393426,0.3971367741935484,0.17431387099669446,0.325,0.5425633603552676,1025301.25,1640883.2803168655,1015.0,0.0
76,7.909090909090909,3.301639963151796,16.727272727272727,6.823634183561893,0.42803500000000005,0.13558448113630114,0.25,0.48733971724044817,630466.25,910349.7112296667,639.0,0.0
77,7.892857142857143,3.1548068280718833,16.714285714285715,6.490967035906475,0.4363953571428571,0.12133080189777928,0.275,0.5910795208768445,839546.25,1279929.3199180716,786.0,0.0
78,7.6923076923076925,4.267671232824676,16.192307692307693,8.883949358985438,0.38228038461538466,0.1866717090855735,0.25,0.4609772228646444,929602.5,1305417.2338734271,936.0,0.0
79,7.1,3.740320841853009,15.05,7.76836533641409,0.3986565,0.16772507061483088,0.2125,0.46620140497428786,564658.75,1104596.0105049436,509.0,0.0
80,9.407407407407407,1.9862352115247293,19.814814814814813,3.9724704230494585,0.4735233333333334,0.006388925603759239,0.2375,0.5060570619999291,976580.0,1509122.735515571,1018.0,0.0
81,7.6923076923076925,3.2671939356300466,16.307692307692307,6.718340172584015,0.4330603846153846,0.12532499656986504,0.275,0.5238081709939241,1091122.5,1768234.8829394104,930.0,0.0
82,8.392857142857142,3.166107182942098,17.714285714285715,6.52389641930311,0.4382325000000001,0.12179365845633577,0.2625,0.5182603110406969,830351.25,2072422.0718759096,896.0,1.0
83,8.375,3.7059917700933984,17.625,7.696387139431072,0.41459625,0.15683188865290598,0.225,0.47368238303741045,1231401.25,2078107.7157172188,1058.0,0.0
84,7.25,4.107919181288746,15.3125,8.549259836383499,0.3829796875,0.18413207580573066,0.2875,0.5290025992374706,1162518.75,2411999.1517978273,1189.0,1.0
85,6.806451612903226,4.46794572727246,14.35483870967742,9.331004119450986,0.35041483870967755,0.20677972401491315,0.2875,0.47942022276912766,1115170.0,1577766.3555165573,1007.0,0.0
86,8.64516129032258,2.5469575410518557,18.258064516129032,5.205256288416137,0.4567261290322581,0.08369174675759965,0.3,0.5099019513592784,1394131.25,3326772.4781533284,1401.0,1.0
87,7.59375,3.8231153445194406,16.03125,7.958817339121435,0.3982621875,0.1715240238956043,0.25,0.51234753829798,1845245.0,4044522.906131822,1644.0,1.0
88,7.064516129032258,3.7754340393157086,14.96774193548387,7.855484506803418,0.3940922580645161,0.17298153960260687,0.2875,0.5048205126577168,1284980.0,2261915.397478429,1133.0,0.0
89,8.304347826086957,2.544128493622225,17.608695652173914,5.08825698724445,0.46896260869565215,0.009313677748059943,0.2125,0.46620140497428786,505306.25,654919.5502776944,581.0,0.0
90,8.72,2.6156452358834903,18.4,5.366563145999495,0.4536624,0.09283688126084375,0.225,0.47368238303741045,687073.75,1120661.6114759787,737.0,0.0
